Title,genre,lang,year
Tangled,"Animated, romance",english,2010
Parasite,"comedy, drama, thriller",korean,2019
Army of the Dead,Action,english,2021
Raya and the Last Dragon,"action, animated",english,2021
Avenglishgers: englishdgame,"action, adventure",english,2019
Dawn of the Dead,"action, horror",english,2004
The New Mutants,"action, horror, mystery",english,2020
Jurrassic Park,"Action, adventure, sci-fi",english,1993
Inception,"action, adventure, sci-fi",english,2019
Baywatch,"action, comedy",english,2017
Watchmenglish,"action, drama, mystery",english,2009
The Hunger Games,"Action, adventure, sci-fi",english,2012
The Matrix,"action, sci-fi",english,1999
Suicide Squad,"Action, adventure, fantasy",english,2016
Romancing the Stone,"Action, adventure, comedy",english,1984
Cruella,comedy,english,2021
Once Upon a Time… In Hollywood,"Comedy, drama",english,2019
Knives Out,"comedy, crime, drama",english,2019
Soul,"animation, adventure, comedy",english,2020
Dazed and Confused,comedy,english,1993
The Goonies,"adventure, comedy, family",english,1985
Superbad,comedy,english,2007
American Pie,comedy,english,1999
Back to the Future,"adventure, comedy, sci-fi",english,1985
Pitch Perfect,"comedy, romance, music",english,2012
School of Rock,"comedy, music",english,2003
American Psyco,"comedy, drama, crime",english,2000
In the Heights,"drama, music, musical",english,2021
Titanic,"drama, romance",english,1997
Forrest Gump,"drama, romance",english,1994
Sandeep Aur Pinky Faraar,"comedy, crime, drama",hindi,2021
Soorarai Pottru,drama,hindi,2020
3 Idiots,"comedy, drama",hindi,2009
Tumbbad,"drama, fantasy, horror",hindi,2019
Dangal,"action, drama  ",hindi,2016
Gangs of Wasseypur,"action, comedy, crime",hindi,2012
Andhadhun,"crime, drama, music",hindi,2018
PK,"comedy, drama, musical",hindi,2014
Bajrangi Bhaijaan,"action, adventure, comedy",hindi,2015
Zindagi Na Milegi Dobara,"comedy, drama",hindi,2011
Gully Boy,"drama, music, romance",hindi,2019
Yeh Jawaani Hai Deewani,"drama, musical, romance",hindi,2013
Dil Chahta Hai,"drama, comedy, romance",hindi,2001
Jab We Met,"comedy, drama, romance",hindi,2007
Kabhindi Khushindi Kabhindie Gham,"drama, musical, romance",hindi,2001
Barfi!,"comedy, drama, romance",hindi,2012
