Title,genre,lang,year,actor
Tangled,"Animated, romance",english,2010,"Mandy Moore, Zachary Levi"
Parasite,"comedy, drama, thriller",korean,2019,"Cho Yeo-Jeong, Park So-dam"
Army of the Dead,Action,english,2021,"Dave Bautista, Tig Notaro"
Raya and the Last Dragon,"action, animated",english,2021,"Awkwafina, Kelly Marie Tran"
Avengers: End Game,"action, adventure",english,2019,"Chris Evans, Chris Hemsworth"
Dawn of the Dead,"action, horror",english,2004,"George A. Romero, Sarah Polley"
The New Mutants,"action, horror, mystery",english,2020,"Anya taylor-Joy, Maisie Williams"
Jurrassic Park,"Action, adventure, sci-fi",english,1993,"Jeff Goldblum, Sam Neill"
Inception,"action, adventure, sci-fi",english,2010,"Leonardo Dicaprio, Marion Cotillard"
Baywatch,"action, comedy",english,2017,"Zac Efron, Dwayne Johnson"
Watchmen,"action, drama, mystery",english,2009,"Regina King, Jeremy Irons"
The Hunger Games,"Action, adventure, sci-fi",english,2012,"Jennifer Lawrence, Josh Hutcherson"
The Matrix,"action, sci-fi",english,1999,"Keanu Reeves, Carrie-Anne Moss"
Suicide Squad,"Action, adventure, fantasy",english,2016,"Margot Robbie, Jared Leto"
Romancing the Stone,"Action, adventure, comedy",english,1984,"Kathleen Turner, Michael Douglas"
Cruella,comedy,english,2021,"Emma Stone, Emma Thompson"
Once Upon a Time… In Hollywood,"Comedy, drama",english,2019,"Brad Pitt, Leonardo Dicaprio"
Knives Out,"comedy, crime, drama",english,2019,"Ana De Armas, Chris Evans"
Soul,"animation, adventure, comedy",english,2020,"Tina Fey, Jamie Foxx"
Dazed and Confused,comedy,english,1993,"Mathhew McConaughey, Parkey Posey"
The Goonies,"adventure, comedy, family",english,1985,"Josh Brolin, Sean Astin"
Superbad,comedy,english,2007,"Jonah Hill, Michael Cera"
American Pie,comedy,english,1999,"Eugene Levy, Jason Biggs"
Back to the Future,"adventure, comedy, sci-fi",english,1985,"Michael J. Fox, Christopher Lloyd"
Pitch Perfect,"comedy, romance, music",english,2012,"Anna Kendrick, Rebel Wilson"
School of Rock,"comedy, music",english,2003,"Jack Black, Miranda Cosgrove"
American Psyco,"comedy, drama, crime",english,2000,"Christian Bale, Bret Easton"
